@RELATION bachelor

@ATTRIBUTE season numeric
@ATTRIBUTE name string
@ATTRIBUTE contestant_name string
@ATTRIBUTE age numeric
@ATTRIBUTE hometown numeric
@ATTRIBUTE occupation string
@ATTRIBUTE enliminated numeric
@ATTRIBUTE haircolor {Blonde,Brown,Red,Lightbrown,Black,Bald}
@ATTRIBUTE ethnicity {Caucasion,AfricanAmerican,Asian,Hispanic,European,}
@ATTRIBUTE limoordere numeric

@DATA
1,TristaRehn,RyanSutter,31,2,PhsyicalTherapist,25,Brown,Caucasion,9
1,TristaRehn,Charlie,27,1,DentalSales,24,Brown,Caucasion,25
1,TristaRehn,Russ,33,2,OnlineAdvertising,23,Brown,Caucasion,13
1,TristaRehn,Greg,29,3,Lawyer,22,Brown,European,19
1,TristaRehn,BobGuiney,32,2,MortgageCompanyCreator,21,Brown,Hispanic,16
1,TristaRehn,Micheal,31,3,MarketingCoodinator,20,Brown,Caucasion,23
1,TristaRehn,Jamie,26,3,SportsPublicist,19,Blonde,Caucasion,1
1,TristaRehn,Rob,29,3,Firstgradeteacher,18,Blonde,Caucasion,2
1,TristaRehn,BrianS.,31,3,FashionMarketer,17,Blonde,Caucasion,5
1,TristaRehn,Brook,30,1,Scientist,16,Blonde,Caucasion,10
1,TristaRehn,Jack,29,4,SalesManager,15,Black,AfricanAmerican,4
1,TristaRehn,Jeff,36,1,SeniorAnalyst,14,Brown,Caucasion,21
1,TristaRehn,Josh,28,1,MedicalSales,13,Brown,Caucasion,22
1,TristaRehn,BrianC.,31,4,AccountExecutive,12,Blonde,Caucasion,20
1,TristaRehn,BrianH.,29,1,Photographer,11,Blonde,Caucasion,12
1,TristaRehn,BrianK.,28,4,Fashiondesigner,10,Blonde,Caucasion,15
1,TristaRehn,Duane,27,1,Advertisingcoordinator,9,Brown,Caucasion,18
1,TristaRehn,Wayne,29,2,InsuranceAgent,8,Brown,Caucasion,24
1,TristaRehn,Chris,25,3,Landscaper,7,Brown,Caucasion,3
1,TristaRehn,Eric,26,3,RetailManager,6,Blonde,Caucasion,6
1,TristaRehn,Gregg,28,2,SalesConsultant,5,Brown,Caucasion,7
1,TristaRehn,Matt,36,1,MedicalSales,4,Blonde,Caucasion,8
1,TristaRehn,Paul,27,1,MarineBiologist,3,Blonde,Caucasion,14
1,TristaRehn,Peter,23,4,RealEstateAgent,2,Brown,Caucasion,11
1,TristaRehn,Billy,31,1,MarketingManager,1,Blonde,Caucasion,17
2,MeredithPhillips,IanMckee,29,4,EquityResearchSales,25,Blonde,Caucasion,25
2,MeredithPhillips,Mathew,28,3,PharmacuticalSales,24,Brown,Caucasion,1
2,MeredithPhillips,Chad,31,4,PharmacuticalSales,23,Brown,Caucasion,10
2,MeredithPhillips,Lanny,26,3,Stallion/BreedingManager,22,Brown,Caucasion,3
2,MeredithPhillips,Brad,29,2,PharmacuticalSales,21,Brown,Caucasion,19
2,MeredithPhillips,Sean,31,4,CPA,20,Brown,Caucasion,5
2,MeredithPhillips,RyanM.,30,1,FinancialAnalyst,19,Brown,Caucasion,23
2,MeredithPhillips,RyanR.,29,1,Sales/Marketing,18,Brown,Caucasion,6
2,MeredithPhillips,Todd,36,1,Restaurant/BreweryOwner,17,Blonde,Caucasion,12
2,MeredithPhillips,Rick,28,1,Entrepreneur,16,Brown,Caucasion,2
2,MeredithPhillips,Robert,32,1,AllianceTrader,15,Brown,Caucasion,20
2,MeredithPhillips,Harold,29,2,HockeyPlayer,14,Brown,Caucasion,16
2,MeredithPhillips,Marcus,26,1,PersonalTrainer,13,Bald,AfricanAmerican,15
2,MeredithPhillips,Damon,28,1,ArenaFootballPlayer,12,Brown,Caucasion,8
2,MeredithPhillips,Elliot,25,1,OptionsTrader,11,Brown,Caucasion,13
2,MeredithPhillips,Andy,33,3,Dentist,10,Brown,Asian,11
2,MeredithPhillips,Justin,25,3,ProfessionalBaseballPlayer,9,Blonde,Caucasion,4
2,MeredithPhillips,Aaron,32,1,Title/EscrowSales,8,Black,Hispanic,14
2,MeredithPhillips,Jeff,30,3,PharmacuticalSales,7,Blonde,Caucasion,17
2,MeredithPhillips,Cory,24,1,SmallBusinessOwner,6,Blonde,Caucasion,9
2,MeredithPhillips,Keith,31,3,FinancialAnalyst,5,Brown,Hispanic,24
2,MeredithPhillips,Chris,31,4,Architect,4,Brown,Caucasion,18
2,MeredithPhillips,Anselm,32,1,ArtDesigner,3,Brown,European,22
2,MeredithPhillips,Brain,31,4,SportsFacilityManager,2,Brown,Caucasion,7
2,MeredithPhillips,Trever,35,4,NetworkEngineer,1,Brown,Caucasion,21
3,JenniferScheft,JerryFerris,29,1,ArtGalleryDirector,25,Brown,Caucasion,25
3,JenniferScheft,JohnPaul,25,3,Entrepreneur,24,Brown,Hispanic,6
3,JenniferScheft,RyanS.,28,4,AccountExecutive,23,Brown,Caucasion,1
3,JenniferScheft,Wendell,32,2,Entrepreneur,22,Blonde,Caucasion,19
3,JenniferScheft,Ben,26,1,SkiInstructor,21,Brown,Caucasion,21
3,JenniferScheft,Fabrice,28,4,Investor,20,Blonde,Caucasion,15
3,JenniferScheft,Keith,28,1,Welder,19,Brown,Hispanic,9
3,JenniferScheft,Josh,28,1,ProfessionalMarathoner,18,Blonde,Caucasion,17
3,JenniferScheft,Stu,27,4,Lawyer,17,Brown,Caucasion,7
3,JenniferScheft,Michael,31,2,Teacher,16,Brown,Hispanic,11
3,JenniferScheft,A.W.,27,1,MortgageConsultant,15,Brown,Caucasion,23
3,JenniferScheft,Jason,29,3,MotivationalSpeaker,14,Brown,Caucasion,4
3,JenniferScheft,MarkL.,30,1,CommercialFinance,13,Brown,Hispanic,16
3,JenniferScheft,MattM.,32,4,Firefighter,12,Brown,Hispanic,8
3,JenniferScheft,RyanSm.,34,4,Lawyer,11,Brown,AfricanAmerican,5
3,JenniferScheft,EricT.,37,1,Firefighter,10,Brown,Hispanic,2
3,JenniferScheft,Kevin,26,4,Consultant,9,Brown,Caucasion,12
3,JenniferScheft,Andrew,37,4,Bartender,8,Brown,Caucasion,20
3,JenniferScheft,Andy,29,1,SkiInstructor,7,Brown,Caucasion,10
3,JenniferScheft,Chris,33,2,SportsAgent,6,Brown,European,14
3,JenniferScheft,EricH.,35,4,MagazineEditor,5,Brown,Caucasion,18
3,JenniferScheft,David,30,2,MarketingConsultant,4,Brown,Hispanic,13
3,JenniferScheft,Collin,27,3,SportsAgent,3,Brown,Caucasion,22
